mRNA_ID	Length
Pavir.1KG000025.1.v5.1	1623
Pavir.1KG000050.2.v5.1	2241
Pavir.1KG000075.1.v5.1	890
Pavir.1KG000101.1.v5.1	1797
Pavir.1KG000126.1.v5.1	630
Pavir.1KG000151.1.v5.1	765
Pavir.1KG000176.1.v5.1	456
Pavir.1KG000200.1.v5.1	1937
Pavir.1KG000400.1.v5.1	1578
Pavir.1KG000733.2.v5.1	778
Pavir.1KG001066.3.v5.1	1050
Pavir.1KG001200.1.v5.1	555
Pavir.1KG001205.1.v5.1	591
Pavir.1KG001210.1.v5.1	318
Pavir.1KG001400.1.v5.1	819
Pavir.1KG001500.3.v5.1	1658
Pavir.1KG001600.8.v5.1	3651
Pavir.1KG001700.2.v5.1	1869
Pavir.1KG001800.1.v5.1	831
Pavir.1KG001900.1.v5.1	1569
Pavir.1KG002000.1.v5.1	1716
Pavir.1KG002100.1.v5.1	438
Pavir.1KG002200.1.v5.1	1524
Pavir.1KG002500.1.v5.1	2026
Pavir.1KG002600.1.v5.1	1510
Pavir.1KG002700.1.v5.1	507
Pavir.1KG002850.1.v5.1	477
Pavir.1KG003000.9.v5.1	6435
Pavir.1KG003050.1.v5.1	456
Pavir.1KG003100.8.v5.1	3384
Pavir.1KG003200.2.v5.1	1687
Pavir.1KG003300.1.v5.1	1130
Pavir.1KG003400.1.v5.1	441
Pavir.1KG003450.1.v5.1	366
Pavir.1KG003500.1.v5.1	228
Pavir.1KG003601.4.v5.1	1021
Pavir.1KG003701.1.v5.1	1440
Pavir.1KG003801.1.v5.1	378
Pavir.1KG003900.1.v5.1	1312
Pavir.1KG004000.2.v5.1	1176
Pavir.1KG004100.2.v5.1	3083
Pavir.1KG004200.4.v5.1	2368
Pavir.1KG004300.1.v5.1	3485
Pavir.1KG004400.1.v5.1	844
Pavir.1KG004500.1.v5.1	789
Pavir.1KG004600.1.v5.1	807
Pavir.1KG004700.1.v5.1	892
Pavir.1KG004800.1.v5.1	1792
Pavir.1KG004900.1.v5.1	1661
Pavir.1KG005033.2.v5.1	2386
Pavir.1KG005166.1.v5.1	1306
Pavir.1KG005300.4.v5.1	1525
Pavir.1KG005400.1.v5.1	159
Pavir.1KG005450.1.v5.1	681
Pavir.1KG005500.1.v5.1	2798
Pavir.1KG005600.1.v5.1	1833
Pavir.1KG005700.3.v5.1	1467
Pavir.1KG005800.3.v5.1	1076
Pavir.1KG005900.5.v5.1	5549
Pavir.1KG006000.1.v5.1	159
Pavir.1KG006100.1.v5.1	681
Pavir.1KG006200.2.v5.1	2676
Pavir.1KG006500.1.v5.1	1499
Pavir.1KG006600.1.v5.1	1652
Pavir.1KG006801.1.v5.1	1504
Pavir.1KG007000.2.v5.1	3053
Pavir.1KG007100.1.v5.1	1104
Pavir.1KG007300.5.v5.1	1698
Pavir.1KG007400.2.v5.1	854
Pavir.1KG007450.1.v5.1	1260
Pavir.1KG007500.1.v5.1	1457
Pavir.1KG007600.1.v5.1	1611
Pavir.1KG007701.1.v5.1	847
Pavir.1KG007800.1.v5.1	7006
Pavir.1KG007900.1.v5.1	1615
Pavir.1KG008000.16.v5.1	3863
Pavir.1KG008050.1.v5.1	558
Pavir.1KG008100.4.v5.1	3055
Pavir.1KG008140.1.v5.1	3613
Pavir.1KG008180.1.v5.1	849
Pavir.1KG008220.1.v5.1	719
Pavir.1KG008260.1.v5.1	453
Pavir.1KG008300.1.v5.1	3513
Pavir.1KG008400.3.v5.1	864
Pavir.1KG008500.2.v5.1	1461
Pavir.1KG008600.2.v5.1	726
Pavir.1KG008750.1.v5.1	549
Pavir.1KG008900.1.v5.1	2026
Pavir.1KG009000.1.v5.1	2573
Pavir.1KG009100.1.v5.1	2726
Pavir.1KG009201.1.v5.1	510
Pavir.1KG009300.10.v5.1	7148
Pavir.1KG009500.2.v5.1	1469
Pavir.1KG009700.1.v5.1	1952
Pavir.1KG009800.1.v5.1	2342
Pavir.1KG009901.1.v5.1	258
Pavir.1KG010000.1.v5.1	285
Pavir.1KG010100.2.v5.1	702
Pavir.1KG010200.1.v5.1	3588
Pavir.1KG010300.1.v5.1	2868
Pavir.1KG010350.1.v5.1	1383
Pavir.1KG010400.1.v5.1	1874
Pavir.1KG010501.1.v5.1	396
Pavir.1KG010601.1.v5.1	1222
Pavir.1KG010700.5.v5.1	1519
Pavir.1KG010800.1.v5.1	942
Pavir.1KG010900.1.v5.1	1767
Pavir.1KG011100.1.v5.1	1866
Pavir.1KG011200.5.v5.1	7355
Pavir.1KG011250.1.v5.1	1126
Pavir.1KG011300.5.v5.1	1939
Pavir.1KG011400.2.v5.1	825
Pavir.1KG011500.2.v5.1	2262
Pavir.1KG012600.2.v5.1	1881
Pavir.1KG013500.4.v5.1	1571
Pavir.1KG013800.7.v5.1	2768
Pavir.1KG014000.1.v5.1	2013
Pavir.1KG014093.2.v5.1	2324
Pavir.1KG014100.2.v5.1	1907
Pavir.1KG014200.1.v5.1	1364
Pavir.1KG014293.1.v5.1	1029
Pavir.1KG014300.1.v5.1	1058
Pavir.1KG014386.1.v5.1	613
Pavir.1KG014493.1.v5.1	417
Pavir.1KG014500.1.v5.1	2475
Pavir.1KG014586.1.v5.1	1304
Pavir.1KG014700.1.v5.1	668
Pavir.1KG014800.6.v5.1	2441
Pavir.1KG014900.1.v5.1	1131
Pavir.1KG015000.1.v5.1	1560
Pavir.1KG015200.1.v5.1	881
Pavir.1KG015400.2.v5.1	1336
Pavir.1KG015500.1.v5.1	3349
Pavir.1KG015693.1.v5.1	2948
Pavir.1KG015700.1.v5.1	2293
Pavir.1KG015800.1.v5.1	2933
Pavir.1KG015900.1.v5.1	1324
Pavir.1KG016000.1.v5.1	485
Pavir.1KG016093.1.v5.1	306
Pavir.1KG016100.4.v5.1	2060
Pavir.1KG016500.1.v5.1	708
Pavir.1KG016793.1.v5.1	321
Pavir.1KG016800.1.v5.1	1642
Pavir.1KG017000.1.v5.1	1842
Pavir.1KG017086.1.v5.1	1569
Pavir.1KG017100.1.v5.1	2537
Pavir.1KG017200.1.v5.1	377
Pavir.1KG017300.1.v5.1	1170
Pavir.1KG017400.2.v5.1	1576
Pavir.1KG017600.2.v5.1	996
Pavir.1KG017800.2.v5.1	1137
Pavir.1KG017900.2.v5.1	2007
Pavir.1KG018000.1.v5.1	1652
Pavir.1KG018200.1.v5.1	1480
Pavir.1KG018300.3.v5.1	1830
Pavir.1KG018400.1.v5.1	1161
Pavir.1KG018493.1.v5.1	1028
Pavir.1KG018500.22.v5.1	4348
Pavir.1KG018800.5.v5.1	3792
Pavir.1KG018900.1.v5.1	1727
Pavir.1KG019000.1.v5.1	631
Pavir.1KG019100.2.v5.1	1341
Pavir.1KG019200.1.v5.1	899
Pavir.1KG019293.1.v5.1	792
Pavir.1KG019300.1.v5.1	1986
Pavir.1KG019493.1.v5.1	738
Pavir.1KG019500.1.v5.1	3420
Pavir.1KG019800.2.v5.1	1689
Pavir.1KG019900.1.v5.1	1636
Pavir.1KG020100.5.v5.1	1043
Pavir.1KG020200.2.v5.1	1769
Pavir.1KG020300.2.v5.1	1140
Pavir.1KG020400.1.v5.1	2658
Pavir.1KG020500.1.v5.1	3207
Pavir.1KG020600.1.v5.1	2571
Pavir.1KG020700.2.v5.1	2073
Pavir.1KG020800.8.v5.1	3036
Pavir.1KG021093.1.v5.1	1477
Pavir.1KG021100.11.v5.1	2011
Pavir.1KG021200.1.v5.1	2597
Pavir.1KG021400.3.v5.1	3185
Pavir.1KG021600.1.v5.1	931
Pavir.1KG021700.3.v5.1	487
Pavir.1KG021900.1.v5.1	2124
Pavir.1KG021993.1.v5.1	1462
Pavir.1KG022000.3.v5.1	1305
Pavir.1KG022100.1.v5.1	1069
Pavir.1KG022200.1.v5.1	2175
Pavir.1KG022400.1.v5.1	1988
Pavir.1KG022500.2.v5.1	1051
Pavir.1KG023000.1.v5.1	753
